date,id,store_nbr,family,onpromotion,sales
2017-08-16,3002340,5,AUTOMOTIVE,0,6.725177596546934
2017-08-17,3004122,5,AUTOMOTIVE,0,6.391821207052616
2017-08-18,3005904,5,AUTOMOTIVE,0,6.391607932422752
2017-08-19,3007686,5,AUTOMOTIVE,0,6.39139466490918
2017-08-20,3009468,5,AUTOMOTIVE,0,6.391181404511663
2017-08-21,3011250,5,AUTOMOTIVE,0,6.390968151229963
2017-08-22,3013032,5,AUTOMOTIVE,0,6.390754905063843
2017-08-23,3014814,5,AUTOMOTIVE,0,6.390541666013065
2017-08-24,3016596,5,AUTOMOTIVE,0,6.390328434077393
2017-08-25,3018378,5,AUTOMOTIVE,0,6.390115209256588
2017-08-26,3020160,5,AUTOMOTIVE,0,6.389901991550413
2017-08-27,3021942,5,AUTOMOTIVE,0,6.389688780958632
2017-08-28,3023724,5,AUTOMOTIVE,0,6.389475577481005
2017-08-29,3025506,5,AUTOMOTIVE,0,6.389262381117297
2017-08-30,3027288,5,AUTOMOTIVE,0,6.3890491918672705
2017-08-31,3029070,5,AUTOMOTIVE,0,6.388836009730687
2017-08-16,3002341,5,BABY CARE,0,0.5943723526055728
2017-08-17,3004123,5,BABY CARE,0,0.464305903548316
2017-08-18,3005905,5,BABY CARE,0,0.36075456807983797
2017-08-19,3007687,5,BABY CARE,0,0.5835129697013144
2017-08-20,3009469,5,BABY CARE,0,0.3170644882194362
2017-08-21,3011251,5,BABY CARE,0,0.30083964847669703
2017-08-22,3013033,5,BABY CARE,0,0.3488206822869268
2017-08-23,3014815,5,BABY CARE,0,0.1671321493823818
2017-08-24,3016597,5,BABY CARE,0,0.22526585176335895
2017-08-25,3018379,5,BABY CARE,0,0.4186125382479558
2017-08-26,3020161,5,BABY CARE,0,0.30772415920386853
2017-08-27,3021943,5,BABY CARE,0,0.49616073169497144
2017-08-28,3023725,5,BABY CARE,0,0.3964108286167016
2017-08-29,3025507,5,BABY CARE,0,0.48216744971261405
2017-08-30,3027289,5,BABY CARE,0,0.2614822223952836
2017-08-31,3029071,5,BABY CARE,0,0.3740769636349839
2017-08-16,3002342,5,BEAUTY,2,6.562883759838261
2017-08-17,3004124,5,BEAUTY,2,6.548425067077521
2017-08-18,3005906,5,BEAUTY,1,6.508088581823341
2017-08-19,3007688,5,BEAUTY,2,6.505783202467168
2017-08-20,3009470,5,BEAUTY,1,6.503478639752302
2017-08-21,3011252,5,BEAUTY,2,6.5011748933894635
2017-08-22,3013034,5,BEAUTY,2,6.498871963089474
2017-08-23,3014816,5,BEAUTY,0,6.496569848563257
2017-08-24,3016598,5,BEAUTY,0,6.494268549521838
2017-08-25,3018380,5,BEAUTY,0,6.491968065676345
2017-08-26,3020162,5,BEAUTY,0,6.48966839673801
2017-08-27,3021944,5,BEAUTY,0,6.487369542418166
2017-08-28,3023726,5,BEAUTY,1,6.485071502428247
2017-08-29,3025508,5,BEAUTY,1,6.482774276479792
2017-08-30,3027290,5,BEAUTY,1,6.480477864284439
2017-08-31,3029072,5,BEAUTY,0,6.478182265553931
2017-08-16,3002343,5,BEVERAGES,20,1407.473952093705
2017-08-17,3004125,5,BEVERAGES,13,1389.8264483240355
2017-08-18,3005907,5,BEVERAGES,18,1567.537179592909
2017-08-19,3007689,5,BEVERAGES,18,1800.6196575708373
2017-08-20,3009471,5,BEVERAGES,15,1912.7138939679812
2017-08-21,3011253,5,BEVERAGES,15,1819.9721198952475
2017-08-22,3013035,5,BEVERAGES,11,1593.2453967130814
2017-08-23,3014817,5,BEVERAGES,18,1403.8973595967818
2017-08-24,3016599,5,BEVERAGES,29,1394.2725931927494
2017-08-25,3018381,5,BEVERAGES,29,1570.681918213457
2017-08-26,3020163,5,BEVERAGES,26,1799.3494941783579
2017-08-27,3021945,5,BEVERAGES,30,1907.8439165859377
2017-08-28,3023727,5,BEVERAGES,31,1815.0902312769072
2017-08-29,3025509,5,BEVERAGES,28,1591.9376535523324
2017-08-30,3027291,5,BEVERAGES,34,1407.041509891416
2017-08-31,3029073,5,BEVERAGES,32,1399.3904062725906
2017-08-16,3002344,5,BOOKS,0,-0.013599838538574336
2017-08-17,3004126,5,BOOKS,0,0.006652833840455367
2017-08-18,3005908,5,BOOKS,0,-0.0028089312444840846
2017-08-19,3007690,5,BOOKS,0,-0.012284890522886402
2017-08-20,3009472,5,BOOKS,0,-0.005475095887467448
2017-08-21,3011254,5,BOOKS,0,0.0074019242598200585
2017-08-22,3013036,5,BOOKS,0,-0.005655452871560756
2017-08-23,3014818,5,BOOKS,0,0.006752067702632834
2017-08-24,3016600,5,BOOKS,0,-0.0048219479939480454
2017-08-25,3018382,5,BOOKS,0,-0.004808048164161775
2017-08-26,3020164,5,BOOKS,0,-0.012192088532035614
2017-08-27,3021946,5,BOOKS,0,0.0013904529231635026
2017-08-28,3023728,5,BOOKS,0,-0.027861901632048658
2017-08-29,3025510,5,BOOKS,0,-0.021349117185319334
2017-08-30,3027292,5,BOOKS,0,0.004529609098645523
2017-08-31,3029074,5,BOOKS,0,-0.01408032533898242
2017-08-16,3002345,5,BREAD/BAKERY,12,343.30685092582826
2017-08-17,3004127,5,BREAD/BAKERY,8,304.36636912278885
2017-08-18,3005909,5,BREAD/BAKERY,9,323.40385652178946
2017-08-19,3007691,5,BREAD/BAKERY,9,334.90713772395435
2017-08-20,3009473,5,BREAD/BAKERY,9,396.6617189380222
2017-08-21,3011255,5,BREAD/BAKERY,8,373.7154104689139
2017-08-22,3013037,5,BREAD/BAKERY,7,342.7822494355029
2017-08-23,3014819,5,BREAD/BAKERY,10,344.1258541898534
2017-08-24,3016601,5,BREAD/BAKERY,9,304.97433146954876
2017-08-25,3018383,5,BREAD/BAKERY,13,323.38285984089356
2017-08-26,3020165,5,BREAD/BAKERY,11,334.5060965336058
2017-08-27,3021947,5,BREAD/BAKERY,12,394.22043469775684
2017-08-28,3023729,5,BREAD/BAKERY,10,372.0322245827295
2017-08-29,3025511,5,BREAD/BAKERY,12,342.12103091707706
2017-08-30,3027293,5,BREAD/BAKERY,11,343.42024576207984
2017-08-31,3029075,5,BREAD/BAKERY,9,305.5622080035932
2017-08-16,3002346,5,CELEBRATION,0,26.17366531314037
2017-08-17,3004128,5,CELEBRATION,0,25.814788315472665
2017-08-18,3005910,5,CELEBRATION,0,25.746560854904924
2017-08-19,3007692,5,CELEBRATION,0,25.678513716806563
2017-08-20,3009474,5,CELEBRATION,0,25.610646424592453
2017-08-21,3011256,5,CELEBRATION,0,25.54295850293706
2017-08-22,3013038,5,CELEBRATION,0,25.475449477771125
2017-08-23,3014820,5,CELEBRATION,0,25.408118876278326
2017-08-24,3016602,5,CELEBRATION,0,25.34096622689198
2017-08-25,3018384,5,CELEBRATION,0,25.27399105929173
2017-08-26,3020166,5,CELEBRATION,0,25.20719290440027
2017-08-27,3021948,5,CELEBRATION,0,25.140571294380035
2017-08-28,3023730,5,CELEBRATION,0,25.07412576262994
2017-08-29,3025512,5,CELEBRATION,0,25.007855843782107
2017-08-30,3027294,5,CELEBRATION,0,24.941761073698608
2017-08-31,3029076,5,CELEBRATION,0,24.875840989468212
2017-08-16,3002347,5,CLEANING,24,858.662255749409
2017-08-17,3004129,5,CLEANING,8,918.5413785223458
2017-08-18,3005911,5,CLEANING,11,928.3834057786752
2017-08-19,3007693,5,CLEANING,11,920.3769816239354
2017-08-20,3009475,5,CLEANING,10,913.5799744549586
2017-08-21,3011257,5,CLEANING,11,911.1394809593833
2017-08-22,3013039,5,CLEANING,10,911.1554174432588
2017-08-23,3014821,5,CLEANING,14,911.6943067824058
2017-08-24,3016603,5,CLEANING,13,912.0185142541606
2017-08-25,3018385,5,CLEANING,10,912.0966229967611
2017-08-26,3020167,5,CLEANING,14,912.0723121584806
2017-08-27,3021949,5,CLEANING,14,912.0394683970418
2017-08-28,3023731,5,CLEANING,13,912.0238557656866
2017-08-29,3025513,5,CLEANING,16,912.0205841222155
2017-08-30,3027295,5,CLEANING,14,912.0210500731448
2017-08-31,3029077,5,CLEANING,15,912.0210894815459
2017-08-16,3002348,5,DAIRY,42,545.5111234216969
2017-08-17,3004130,5,DAIRY,15,462.29311103923726
2017-08-18,3005912,5,DAIRY,18,497.4095030001514
2017-08-19,3007694,5,DAIRY,16,533.7404807199568
2017-08-20,3009476,5,DAIRY,18,639.5136556321966
2017-08-21,3011258,5,DAIRY,16,583.9512676591855
2017-08-22,3013040,5,DAIRY,16,508.70072232134214
2017-08-23,3014822,5,DAIRY,18,541.6902847490322
2017-08-24,3016604,5,DAIRY,10,469.35017133304075
2017-08-25,3018386,5,DAIRY,8,501.1025529143184
2017-08-26,3020168,5,DAIRY,11,536.4322561832919
2017-08-27,3021950,5,DAIRY,10,638.7354590442393
2017-08-28,3023732,5,DAIRY,11,584.2419263655652
2017-08-29,3025514,5,DAIRY,16,510.738411659962
2017-08-30,3027296,5,DAIRY,17,542.7019434753785
2017-08-31,3029078,5,DAIRY,17,472.28597899874876
2017-08-16,3002349,5,DELI,18,208.0122038232562
2017-08-17,3004131,5,DELI,7,225.97988581035978
2017-08-18,3005913,5,DELI,64,228.21859925186155
2017-08-19,3007695,5,DELI,8,223.16206417981502
2017-08-20,3009477,5,DELI,8,223.146085476156
2017-08-21,3011259,5,DELI,8,223.13010791659366
2017-08-22,3013041,5,DELI,7,223.11413150104605
2017-08-23,3014823,5,DELI,10,223.09815622943125
2017-08-24,3016605,5,DELI,10,223.08218210166737
2017-08-25,3018387,5,DELI,57,223.06620911767249
2017-08-26,3020169,5,DELI,9,223.05023727736474
2017-08-27,3021951,5,DELI,10,223.0342665806622
2017-08-28,3023733,5,DELI,9,223.01829702748302
2017-08-29,3025515,5,DELI,10,223.0023286177453
2017-08-30,3027297,5,DELI,10,222.98636135136718
2017-08-31,3029079,5,DELI,7,222.9703952282668
2017-08-16,3002350,5,EGGS,1,85.6292885158777
2017-08-17,3004132,5,EGGS,0,65.85878451428447
2017-08-18,3005914,5,EGGS,25,88.49466281930631
2017-08-19,3007696,5,EGGS,0,85.40136170063678
2017-08-20,3009478,5,EGGS,0,109.14842209550392
2017-08-21,3011260,5,EGGS,0,90.40810501515587
2017-08-22,3013042,5,EGGS,0,80.06746860630112
2017-08-23,3014824,5,EGGS,0,85.9960727434009
2017-08-24,3016606,5,EGGS,0,66.0288809767036
2017-08-25,3018388,5,EGGS,21,88.08470589839325
2017-08-26,3020170,5,EGGS,0,85.81185918600885
2017-08-27,3021952,5,EGGS,0,109.16978419712423
2017-08-28,3023734,5,EGGS,0,90.57491188058472
2017-08-29,3025516,5,EGGS,0,80.7620655145329
2017-08-30,3027298,5,EGGS,0,85.98365924601262
2017-08-31,3029080,5,EGGS,0,66.36579907175633
2017-08-16,3002351,5,FROZEN FOODS,1,69.65366521905364
2017-08-17,3004133,5,FROZEN FOODS,0,69.81005629556327
2017-08-18,3005915,5,FROZEN FOODS,1,67.31727240384312
2017-08-19,3007697,5,FROZEN FOODS,0,64.91350106791451
2017-08-20,3009479,5,FROZEN FOODS,0,62.59556381927286
2017-08-21,3011261,5,FROZEN FOODS,0,60.36039568645843
2017-08-22,3013043,5,FROZEN FOODS,0,58.20504114229341
2017-08-23,3014825,5,FROZEN FOODS,0,56.12665019583547
2017-08-24,3016607,5,FROZEN FOODS,0,54.12247462388019
2017-08-25,3018389,5,FROZEN FOODS,0,52.189864337029356
2017-08-26,3020171,5,FROZEN FOODS,0,50.326263875519984
2017-08-27,3021953,5,FROZEN FOODS,0,48.529209030180645
2017-08-28,3023735,5,FROZEN FOODS,0,46.79632358404697
2017-08-29,3025517,5,FROZEN FOODS,0,45.125316170327835
2017-08-30,3027299,5,FROZEN FOODS,0,43.513977242567634
2017-08-31,3029081,5,FROZEN FOODS,0,41.960176152998194
2017-08-16,3002352,5,GROCERY I,64,2534.410158431627
2017-08-17,3004134,5,GROCERY I,32,2493.807996333023
2017-08-18,3005916,5,GROCERY I,33,2762.8802812224967
2017-08-19,3007698,5,GROCERY I,34,3027.8811797670387
2017-08-20,3009480,5,GROCERY I,36,3126.1731623469477
2017-08-21,3011262,5,GROCERY I,35,2971.6827876704815
2017-08-22,3013044,5,GROCERY I,24,2686.1626545446243
2017-08-23,3014826,5,GROCERY I,38,2483.830983595013
2017-08-24,3016608,5,GROCERY I,50,2517.202374406274
2017-08-25,3018390,5,GROCERY I,49,2759.7979622839075
2017-08-26,3020172,5,GROCERY I,55,3027.7905059492205
2017-08-27,3021954,5,GROCERY I,55,3118.9557742939996
2017-08-28,3023736,5,GROCERY I,59,2965.2733088924388
2017-08-29,3025518,5,GROCERY I,46,2683.559012430605
2017-08-30,3027300,5,GROCERY I,83,2486.6073477052732
2017-08-31,3029082,5,GROCERY I,71,2522.3757414160373
2017-08-16,3002353,5,GROCERY II,0,25.307005267114558
2017-08-17,3004135,5,GROCERY II,0,23.41777264360774
2017-08-18,3005917,5,GROCERY II,0,21.601465758049947
2017-08-19,3007699,5,GROCERY II,0,19.903434204186365
2017-08-20,3009481,5,GROCERY II,0,19.72398093065441
2017-08-21,3011263,5,GROCERY II,0,20.264926718583588
2017-08-22,3013045,5,GROCERY II,0,21.210933169271904
