,Unnamed: 0,store_nbr,family,order,seasonal_order
0,0,5,AUTOMOTIVE,"(1, 0, 2)","(0, 0, 0, 0)"
1,1,5,BABY CARE,"(1, 1, 1)","(2, 0, 2, 7)"
2,2,5,BEAUTY,"(1, 0, 3)","(0, 0, 0, 0)"
3,3,5,BEVERAGES,"(4, 0, 3)","(0, 0, 0, 0)"
4,4,5,BOOKS,"(1, 1, 2)","(2, 0, 2, 7)"
5,5,5,BREAD/BAKERY,"(0, 1, 2)","(1, 0, 1, 7)"
6,6,5,CELEBRATION,"(1, 0, 2)","(0, 0, 0, 0)"
7,7,5,CLEANING,"(4, 0, 1)","(0, 0, 0, 0)"
8,8,5,DAIRY,"(1, 1, 4)","(2, 0, 1, 7)"
9,9,5,DELI,"(1, 0, 4)","(0, 0, 0, 0)"
10,10,5,EGGS,"(0, 1, 1)","(2, 0, 1, 7)"
11,11,5,FROZEN FOODS,"(1, 0, 2)","(0, 0, 0, 0)"
12,12,5,GROCERY I,"(4, 0, 4)","(0, 0, 0, 0)"
13,13,5,GROCERY II,"(4, 0, 4)","(0, 0, 0, 0)"
14,14,5,HARDWARE,"(0, 0, 1)","(0, 0, 0, 0)"
15,15,5,HOME AND KITCHEN I,"(2, 0, 1)","(0, 0, 0, 0)"
16,16,5,HOME AND KITCHEN II,"(3, 0, 3)","(0, 0, 0, 0)"
17,17,5,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,5,HOME CARE,"(4, 0, 4)","(0, 0, 0, 0)"
19,19,5,LADIESWEAR,"(1, 0, 2)","(0, 0, 0, 0)"
20,20,5,LAWN AND GARDEN,"(1, 0, 2)","(0, 0, 0, 0)"
21,21,5,LINGERIE,"(1, 0, 2)","(0, 0, 0, 0)"
22,22,5,"LIQUOR,WINE,BEER","(4, 0, 3)","(0, 0, 0, 0)"
23,23,5,MAGAZINES,"(3, 1, 3)","(1, 0, 1, 7)"
24,24,5,MEATS,"(1, 0, 4)","(0, 0, 0, 0)"
25,25,5,PERSONAL CARE,"(4, 0, 4)","(0, 0, 0, 0)"
26,26,5,PET SUPPLIES,"(2, 0, 1)","(0, 0, 0, 0)"
27,27,5,PLAYERS AND ELECTRONICS,"(1, 0, 2)","(0, 0, 0, 0)"
28,28,5,POULTRY,"(4, 0, 1)","(0, 0, 0, 0)"
29,29,5,PREPARED FOODS,"(1, 1, 1)","(1, 0, 1, 7)"
30,30,5,PRODUCE,"(3, 0, 3)","(0, 0, 0, 0)"
31,31,5,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 2)","(0, 0, 0, 0)"
32,32,5,SEAFOOD,"(2, 0, 2)","(0, 0, 0, 0)"
0,0,6,AUTOMOTIVE,"(4, 0, 1)","(0, 0, 0, 0)"
1,1,6,BABY CARE,"(4, 0, 4)","(0, 0, 0, 0)"
2,2,6,BEAUTY,"(4, 0, 4)","(0, 0, 0, 0)"
3,3,6,BEVERAGES,"(0, 1, 2)","(1, 0, 1, 7)"
4,4,6,BOOKS,"(4, 0, 4)","(0, 0, 0, 0)"
5,5,6,BREAD/BAKERY,"(3, 1, 0)","(1, 0, 1, 7)"
6,6,6,CELEBRATION,"(1, 0, 2)","(0, 0, 0, 0)"
7,7,6,CLEANING,"(3, 0, 1)","(0, 0, 0, 0)"
8,8,6,DAIRY,"(4, 1, 0)","(2, 0, 1, 7)"
9,9,6,DELI,"(1, 0, 2)","(0, 0, 0, 0)"
10,10,6,EGGS,"(4, 0, 2)","(0, 0, 0, 0)"
11,11,6,FROZEN FOODS,"(2, 0, 1)","(0, 0, 0, 0)"
12,12,6,GROCERY I,"(1, 0, 4)","(0, 0, 0, 0)"
13,13,6,GROCERY II,"(3, 0, 2)","(0, 0, 0, 0)"
14,14,6,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
15,15,6,HOME AND KITCHEN I,"(1, 0, 2)","(0, 0, 0, 0)"
